# 句子练习例句。一行一句： 单词 | 英文句子 | 中文（可空，留空就写 -）
# 这是 _build_sents.py pick 生成的初稿，改完跑 inject。
# 挖空是 inject 时按「单词」那一列自动做的，别在句子里自己写 ___。
ammunition | The statistics gave ammunition to her argument. | -
analogy | I see no analogy between your problem and mine. | -
analyse | The council held a meeting to analyse the rescheduling. | -
analysis | This is a good place to start the analysis. | -
ancestor | All living beings would have evolved from a common ancestor. | -
ancient | You can see the ancient ruins in the distance. | -
annoy | This will teach you not to annoy other people. | -
annual | Our company has annual sales of a thousand million yen. | -
anonymous | An anonymous tip lead the police to the truth. | -
anticipate | We do not anticipate their buying a new car. | -
anxiety | I have been waiting for the results with anxiety. | -
apartment | The old man lived in the three-room apartment. | -
apology | I must offer you an apology for coming late. | -
apparatus | That school is equipped with the latest gymnastics apparatus. | -
appeal | This kind of picture does not appeal to me. | -
appearance | It was not long before they made their appearance. | -
appease | Management tried to appease labor by offering them a bonus. | -
appendix | I am going to remove the appendix. | -
applaud | The whole audience got up and started to applaud. | -
appliance | The demonstrator convinced him to buy the expensive appliance. | -
application | We regret that your application has not been accepted. | -
apply | What you said does not apply to this case. | -
appraisal | Tom generally makes good decisions based on a realistic appraisal of the situation he's faced with. | -
approach | It is the correct approach to modern ski technique. | -
appropriate | Please review the contents and provide any appropriate feedback. | -
approve | I cannot approve of your going out with him. | -
apt | The rich are apt to look down on people. | -
arbitrary | Latin word order is free, but not arbitrary. | -
arc | The rainbow forms an arc in the sky. | -
arena | Layla's house became an arena for a fight to the death. | -
argue | It is no use trying to argue with him. | -
armor | He who wears armor falls with a big crash! | -
arouse | His opinion does not arouse any sympathy in his colleagues. | -
arrange | He refused our offer to arrange a press conference. | -
arrangement | Emily is very interested in tea ceremony and flower arrangement. | -
array | Tom has an extraordinary array of trophies. | -
arrest | They attacked soldiers who were sent to arrest them. | -
arrogant | I have the impression that he is quite arrogant. | -
artery | The bullet cut through an artery. | -
articulate | Sometimes he has difficulty being articulate about his views. | -
artificial | Today our artificial satellites are revolving around the earth. | -
artillery | Sami had an artillery vest. | -
ascend | The skyscraper's elevators ascend at an astonishing rate of speed. | -
ascertain | We will first ascertain the cause of the disaster. | -
ascribe | We ascribe his success to hard work. | -
aspect | The critic considered every aspect of the defense program. | -
aspiration | He studied day and night in aspiration to possibly become a lawyer. | -
assassination | Assassination has never changed the history of the world. | -
assault | Tom was convicted of assault with a deadly weapon. | -
assemble | It is rather difficult to assemble a watch. | -
assert | Layla began to assert herself a little more. | -
assess | You must assess the situation and act accordingly. | -
asset | Many people these days are asset-rich but time-poor. | -
assign | I have to assign more men to that work. | -
assignment | I have just finished one third of my assignment. | -
assimilate | The weak easily assimilate the opinions of the strong. | -
assistance | The governor decided to provide assistance for the victims. | -
associate | You had better not associate with those men. | -
association | The association has excluded amateurs ever since its foundation. | -
assume | I assume the two of you know each other. | -
assumption | How much confidence exists that this assumption is correct? | -
assurance | I can give you my personal assurance of that. | -
assure | I assure you everything will be ready on time. | -
athlete | He was a good student and a good athlete. | -
atlas | Atlas is often depicted carrying the Earth on his shoulders. | -
atmosphere | The atmosphere in the room was hot and smoky. | -
attach | I forgot to attach a stamp to the envelope. | -
attack | A tiger will attack people when it is hungry. | -
attain | I have to attain my purpose at all costs. | -
attempt | The attempt ended in failure for want of support. | -
attendant | I long for a job as a flight attendant. | -
attitude | His friends were uncomfortable with his high-handed attitude. | -
attract | Coral reefs attract a variety of beautiful marine life. | -
attractive | Mary has as attractive a personality as her sister. | -
attribute | We attribute his success more to hard work than to genius. | -
auction | The magnificent stallion fetched a huge price at auction. | -
audience | The audience was carried away by his touching performance. | -
authentic | His scores could only be properly interpreted by authentic virtuosos. | -
author | Its author is little more than a college kid. | -
authoritative | Mary is outspoken and authoritative. | -
authority | Ritsuko is something of an authority on the subject. | -
authorize | We authorize the workers to take company cars home. | -
autonomous | Welcome to the next generation of autonomous vehicles. | -
autonomy | If I borrow the money, I feel like I'll lose my autonomy. | -
avail | You should avail yourself of every opportunity to learn. | -
available | Please inform me what options are available to me. | -
avert | Skillful diplomacy helps to avert war. | -
aviation | The history of the development of aviation is fascinating. | -
avoid | I stood under a tree to avoid getting wet. | -
award | The album was long-listed for a music award. | -
aware | A problem of whose importance we are fully aware. | -
awkward | At first the trainees were awkward in his company. | -
axis | He played an important part like an axis. | -
background | Pay will be based on experience and educational background. | -
bacteria | The salmonella bacteria are directly associated with the turtles. | -
ballet | He stands alone as a conductor of ballet music. | -
bamboo | This bamboo is too thin to bear much weight. | -
band | We need to band together to beat the enemy. | -
bandage | The nurse gently put a bandage around my head. | -
bang | They set off fireworks with a great bang. | -
banquet | I saw some of the guests leave the banquet room. | -
barely | I had barely got home when the storm broke. | -
bargain | I make a bargain with him over the price. | -
barren | The trees are barren or bear only small fruit. | -
barricade | The rebels made a barricade across the road. | -
barrier | High tariffs have become a barrier to international trade. | -
basis | Food, clothing and shelter are the basis of life. | -
batch | Another batch of cookies are coming out of the oven. | -
batter | The manager sent the bunt sign to the batter. | -
beam | She wobbled as she walked across the balance beam. | -
beforehand | Please come to class having reviewed the materials beforehand. | -
behave | You are old enough to know better. Behave yourself. | -
behavior | Politicians are always censured for outrageous or inappropriate behavior. | -
belly | Tom lifted up his shirt and exposed his belly. | -
beneficial | I believe that multiculturalism is beneficial for a nation. | -
benefit | You should read such books as will benefit you. | -
betray | He would be the last man to betray you. | -
bewilder | Tom's paintings were so chaotic and abstract that they tended to bewilder viewers. | -
beyond | Such matters are beyond the bounds of human knowledge. | -
bibliography | Hand in a bibliography of your sources. | -
biography | He wrote a biography of a famous poet. | -
bizarre | I wonder who this bizarre law is for. | -
blank | She met my feeble joke with a blank stare. | -
blaze | A fire was seen to blaze up far away. | -
bleed | The pin pierced his finger and it began to bleed. | -
blink | The plane went out of sight in a blink. | -
blossom | I hope their relationship will blossom into something permanent. | -
blunder | I am not responsible to you for my blunder. | -
blunt | A love triangle has at least two blunt angles. | -
blur | I can't remember anything. It's just one big blur. | -
blush | Layla put a lot of blush on her face. | -
bonus | I blew my whole bonus on shopping and travel. | -
booklet | He supplemented his lecture with a booklet. | -
boom | Japan has long been favored by a business boom. | -
booth | I have left my umbrella in the phone booth. | -
border | I was asked for my passport at the border. | -
boring | So boring was the lecture that he fell asleep. | -
bounce | Hit the ball after the bounce. | -
bound | You are bound to fail unless you study harder. | -
bowel | I have not had a bowel movement for a week. | -
boycott | The boycott lasted a little more than a year. | -
brace | Tom has a brace on his right leg. | -
bracket | In my age bracket, there are no job offers available. | -
brand | He gave me a select brand of canned goods. | -
breach | They made a breach in the wall. | -
breakdown | He is on the verge of a nervous breakdown. | -
breakthrough | Representatives made a major breakthrough in the trade talks. | -
breed | Some animals will not breed when kept in cages. | -
brew | Human nails were part of the witch's brew. | -
bribe | He is the last man to take a bribe. | -
brief | I cannot do it in such a brief time. | -
brilliant | The stars were brilliant in the clear night sky. | -
brink | Many animal species are on the brink of extinction. | -
brisk | It's invigorating to breathe the brisk, fresh mountain air. | -
bronze | The bronze statue looks quite nice from a distance. | -
brood | The hen keeps her brood under her. | -
bruise | Tom has a black bruise on his right leg. | -
brutal | The city was ruined by the brutal force of nature. | -
buck | Greedy cats are out for a fast buck. | -
bud | The orchardist grafted an apple bud onto the rootstock. | -
budget | My boss rejected the budget for the new project. | -
bug | Every non-trivial program has at least one bug. | -
bulk | He finished the bulk of his work before dinner. | -
bull | You have to take the bull by the horns. | -
bulletin | We can get a weather bulletin every day. | -
bully | Tom was a bully when he was a teenager. | -
bump | Sasha had a huge bump on his head. | -
burden | Supporting his family was a great burden for him. | -
bureaucracy | Sami is a victim of your incompetent bureaucracy. | -
burial | When was the last time you were at a burial ceremony? | -
bust | Sami thought the cops were going to bust him. | -
buzz | Bees always buzz near the kitchen window. | -
bypass | A bypass allows more blood to flow to the heart. | -
cabin | This is snowy weather is giving me cabin fever. | -
cabinet | A cabinet is a cupboard used for displaying things. | -
cable | We need to connect this cable to the generator. | -
cafeteria | I am tired of eating at the school cafeteria. | -
calcium | Spinach is a rich source of iron and calcium. | -
calorie | Adopting a low calorie diet will increase your lifespan. | -
cancel | A sudden illness forced her to cancel her appointment. | -
cancer | Smoking has a great deal to do with cancer. | -
candidate | The candidate waved his hand to whomever he saw. | -
cane | Tom can walk only if he has his cane. | -
cannon | Never use a cannon to kill a fly. | -
canvas | This world is but canvas to our imaginations. | -
capable | These elevators are each capable of carrying ten persons. | -
capacity | This book is within the capacity of young readers. | -
cape | There a cape pushes out into the sea. | -
capsule | Take this capsule within thirty minutes of each meal. | -
captive | The captive escaped in the dark of the night. | -
cardinal | The cardinal directions are: north, south, east, and west. | -
carve | Tom began to carve the turkey. | -
cast | Voters cast their ballots for mayor every four years. | -
casual | The fact is apparent to the most casual observer. | -
casualty | The first casualty of every war is the truth. | -
catastrophe | We will first describe the cause of the catastrophe. | -
cater | We cater to you, the customer with refined taste. | -
cathedral | This cathedral was built more than four centuries ago. | -
catholic | Mary is Catholic, but her boyfriend is an atheist. | -
caution | I prefer to err on the side of caution. | -
cautious | He is too cautious to try anything new. | -
cavity | Sami has never had a cavity in his life. | -
cellar | The cellar-door flew open with a booming sound. | -
cemetery | I buried my dog at the pet cemetery. | -
census | "Trasianka" will be equalized with Belarusian language during the census. | -
ceramic | She became rich by making ceramic pieces. | -
cereal | Tom usually eats a bowl of cereal for breakfast. | -
certainty | I can say with certainty that he hates me. | -
certify | He tried to certify the matter as correct. | -
challenge | Joe found that he needed to accept the challenge. | -
champagne | Tom brought a bottle of champagne to the party. | -
champion | He is what is called a champion of justice. | -
chant | The crowd began to chant. | -
chapel | It is said that the old chapel is haunted. | -
character | There is more in his character than simple honesty. | -
characteristic | That kind of behavior is characteristic of the boy. | -
characterize | How would you characterize the economy right now? | -
charge | Banks charge higher interest on loans to risky customers. | -
chase | Sami wanted to chase the liquor with some juice. | -
cherish | Free man, always you will cherish the sea. | -
chief | The section chief made me work like a slave. | -
chip | Japan disproved phony accusations of computer chip dumping. | -
cholesterol | It is best to avoid eating high cholesterol foods. | -
chord | A seventh chord is composed of four notes. | -
chorus | I did not listen to the chorus of that song. | -
chronic | Sami was a victim of chronic arsenic poisoning. | -
chunk | I was hit by a huge chunk of meat. | -
circulation | He suffers from poor blood circulation to his legs. | -
circumstance | The new bishop was installed with much pomp and circumstance. | -
circus | The elephants are the chief attraction at the circus. | -
cite | To cite usage against rule, in a constructed language, is insane. | -
claim | I will be waiting for you at baggage claim. | -
clamp | A wise businessman knows how to clamp down on costs. | -
clan | These figures are signs of a family or clan. | -
clarity | I was astonished by the clarity of the picture. | -
clash | Every now and then they clash over their differences. | -
clasp | He held her hand in a firm clasp. | -
classic | I will get that classic car at all costs. | -
classical | I like not only classical music but also jazz. | -
classification | Support vector machines are supervised learning models used for classification and regression analysis. | -
clearance | Tom bought that pair of shoes at a clearance sale. | -
clerk | He gets a reasonable salary as a bank clerk. | -
client | He tried to imagine what the client was like. | -
cliff | There is a narrow path running along the cliff. | -
climate | The climate affected the growth of trees and plants. | -
climax | The audience sobbed throughout the climax of the movie. | -
cling | I do not cling to life sufficiently to fear death. | -
clip | Sami used a paper clip to unlock his handcuffs. | -
clockwise | The merry-go-round rotates clockwise. | -
clone | The army decided to clone hundreds of copies of the handsome, athletic man. | -
closet | I was afraid of being put into a closet. | -
clue | He found a clue to solve the mysterious affair. | -
cluster | The cluster of cells continued to grow in the laboratory. | -
clutch | He slowly let the clutch out and drove off. | -
coalition | The coalition is trying to paper over the cracks. | -
coarse | Her skin is coarse from years of working outdoors. | -
cocaine | Sami used to smoke cocaine all the time. | -
cocktail | She worked as a cocktail waitress in a casino. | -
cognitive | This psychological study investigates the cognitive factors of memory. | -
coherent | Our tax system is still without coherent philosophy. | -
coincide | It's clear that our arguments don't coincide at all. | -
coincidence | We happened to meet again through a strange coincidence. | -
collaboration | I would like to thank you for your collaboration. | -
collapse | The house seemed about to collapse at any moment. | -
colleague | Black eyeglasses cover the eyes of my blind colleague. | -
collide | Egoists do not meet, they collide with each other. | -
collision | The car exploded a few moments after the collision. | -
colonial | There are controversial works referring to the colonial period. | -
combat | There is nothing like reality to combat illusions. | -
combination | A combination of several mistakes led to the accident. | -
combine | It is not easy to combine hobbies with profits. | -
comet | He claimed that he had discovered a new comet. | -
comic | He was caught reading a comic book in class. | -
command | He raised his hand as if to command silence. | -
commemorate | Jews don't celebrate the holocaust, they commemorate it. | -
commence | The conference will commence in due course. | -
commend | I commend Tom for his bravery. | -
commentary | People sometimes narrate their actions to themselves as a running commentary. | -
commercial | I would never feed my dog commercial dog food. | -
commission | He has received a commission as a naval officer. | -
commit | Many young men tend to commit the same errors. | -
commitment | After this great commitment success will be sure. | -
committee | The committee was not disposed to hold another meeting. | -
commodity | Salt was a rare and costly commodity in ancient times. | -
commonplace | Space travel will be commonplace some time in the future. | -
commonwealth | Barbados is a member of the Commonwealth. | -
communicate | We can communicate with each other in many ways. | -
communication | All communication with that airplane was suddenly cut off. | -
community | Conformity is an essential element of our homogeneous community. | -
commute | Tom likes to solve crossword puzzles on his commute. | -
compact | I want a compact car with an air conditioner. | -
companion | Gun collecting is a poor companion to child rearing. | -
comparable | As you know, life is comparable to a voyage. | -
compare | You must not compare a man with a woman. | -
comparison | The comparison between the two was to his disadvantage. | -
compartment | Tom pulled a map out of the glove compartment. | -
compatible | My tape recorder is compatible with your amplifier. | -
compel | I compel you to adhere to our master's teachings. | -
compensate | You must compensate him for the money he lost. | -
compete | We must compete with the local stores in price. | -
competence | Develop your linguistic competence as much as possible. | -
competitive | He is really competitive when it comes to football. | -
compile | We should compile a list of everybody who would be willing to help. | -
complain | He does nothing but complain from morning till night. | -
complaint | The official could not deal with the complaint himself. | -
complement | A complete intransitive verb takes neither complement nor object. | -
complex | What seems simple to you seems complex to me. | -
complexion | It puts a different complexion on the situation. | -
complicated | The answer is more complicated than you might think. | -
complication | We have a complication here. | -
compliment | They paid a high compliment to the speaker. | -
comply | We shall be pleased to comply with your request. | -
component | All his ideas had a strong dreamlike component. | -
compose | Tom took a breath and tried to compose himself. | -
compound | The pain of the compound fracture was almost unbearable. | -
comprehension | My comprehension of complex subjects like these is limited. | -
comprehensive | The lessons must provide a comprehensive and differentiated vocabulary. | -
compromise | We tried to come to a compromise with them. | -
compulsory | The scholar regards so-called compulsory education as useless. | -
compute | Scientists can easily compute the distance between planets. | -
concede | We must concede that we committed an error. | -
conceive | It is impossible to conceive of many without one. | -
concentrate | He is unable to concentrate on his academic work. | -
concentration | Ready comprehension requires concentration, focusing entirely on one's reading. | -
concept | The math teacher explained the concept of partial differentiation. | -
conception | Tom had no conception of what fatherhood entailed. | -
concern | Our chief concern should be the aging of society. | -
concise | Sami presented a clear and concise version of events. | -
conclude | I have to conclude this deal within a week. | -
condemn | The doctors were wrong to condemn the couple. | -
conduct | His diligence and good conduct earned him the scholarship. | -
confer | I must confer with my colleagues on the matter. | -
conference | They are now sitting in conference on that question. | -
confidence | I do not put my complete confidence in him. | -
confident | He is confident that he will pass the examination. | -
confidential | His secretary flatly denied leaking any confidential information. | -
configuration | Tom's face detected an unsupported facial hair configuration. | -
confine | We should confine the discussion to the question at issue. | -
confirm | This is just to confirm receipt of your letter. | -
conflict | Diplomatic dialogue helped put an end to the conflict. | -
conform | We should conform to the customs of society. | -
confront | Sami was determined to confront the problem head on. | -
confusion | A power failure contributed to the confusion in the hall. | -
congress | The photo shows a group of the congress participants. | -
conscientious | Only the conscientious students came to the lecture. | -
conscious | People are more conscious nowadays and choose healthy food. | -
consecutive | Tom has been sentenced to three consecutive life sentences. | -
consensus | The people did not reach consensus on taxation. | -
consent | My silence is not to be read as consent. | -
consequence | He changed his mind in consequence of the marriage. | -
consequent | Consequent conduct is specified. | -
consequently | The truth is opaque and consequently imperceptible. | -
conservation | The organization plays a principal role in wildlife conservation. | -
conservative | His views were too conservative for people to accept. | -
conserve | This boss has three stages, so conserve your health. | -
considerable | The nuclear ship was built at a considerable expense. | -
considerate | It was very considerate of you to do that. | -
consist | Happiness does not consist only in having many things. | -
consistent | His daily behavior is not consistent with his principles. | -
console | There are some red lights blinking on the console. | -
consolidate | We need to consolidate the access control code. | -
conspicuous | The scar on his forehead is conspicuous. | -
constant | We have kept in constant touch for twenty years. | -
constitute | It does not constitute an investment advice. | -
constitution | With his muscular constitution he passes for a judoist. | -
constrain | What human trespass would constrain thy power, O Zeus? | -
construct | I will construct a wooden building. | -
consult | The teacher has always been easy to consult with. | -
consultant | The debate over which consultant to use went on for hours. | -
consume | Please consume within one to two days of opening. | -
consumer | The consumer price index has been fluctuating wildly. | -
consumption | This product shall be used for local consumption only. | -
contact | A truck came into contact with the bridge supports. | -
contaminate | If you don't wash your hand before working, you'll contaminate the samples. | -
contemplate | Do you believe that elephants can contemplate life after death? | -
contempt | I feel nothing but contempt for such dishonest behavior. | -
contend | He had to contend against physical suffering. | -
contention | Spread the table, and contention will cease. | -
contest | The weak boy was eliminated from the bitter contest. | -
continual | Today is the fifth day of continual stock price decline. | -
continuity | There were some problems with continuity from the old administration to the new. | -
contract | They wanted to negotiate the contract on equal terms. | -
contradict | Let our action never contradict what we have said. | -
contradiction | Our diplomacy and our military strategy were clearly in contradiction. | -
contrast | The contrast between the two ideas is very marked. | -
contribute | The robots are sure to contribute to the world. | -
contribution | He made a great contribution to research into cancer. | -
contrive | He doesn’t know what causes it, but just wait. He’ll contrive an explanation. | -
controversial | He was criticized for voicing such a controversial opinion. | -
controversy | The senator remained neutral in the furious controversy. | -
convenience | The small thug beat up the convenience store employee. | -
convention | Progress in science was often barred by convention. | -
conventional | Plastics have taken the place of many conventional materials. | -
converge | Why do physicists converge? Because they're monotonous and narrow. | -
conversion | A loft conversion can add considerable value to a property. | -
convert | Batteries are devices that convert chemical energy to electricity. | -
convey | It is difficult to convey the meaning exactly. | -
convict | The convict was pardoned after serving his sentence. | -
convince | Write down the facts needed to convince other people. | -
cooperative | My mother attached herself to a cooperative society. | -
cope | The police were able to cope with the crowd. | -
cord | The father was the one who cut the cord. | -
cordial | I was pleased no end by the cordial welcome. | -
cork | Tom put the cork back into the wine bottle. | -
corporate | The deterioration of corporate earnings has yet to bottom out. | -
corps | Our town does not have a corps of firemen. | -
corpse | The corpse has a gunshot wound in the chest. | -
correspondent | A correspondent must soon adjust himself to life abroad. | -
corresponding | You have certain privileges and therefore corresponding responsibilities. | -
corrode | The substance can irritate or corrode the skin, eyes, or mucous membranes. | -
corrupt | Power tends to corrupt and absolute power corrupts absolutely. | -
costume | Tom was the only one not wearing a costume. | -
council | The teacher affirmed the decision of the student council. | -
counsel | He makes himself accessible to all who seek his counsel. | -
counter | Tom introduced himself to the people behind the counter. | -
coupon | Nir has a discount coupon for the museum's exhibition. | -
court | The court called on the lawyer to give evidence. | -
courtesy | She did me the courtesy of answering my letter. | -
coverage | The squadron encountered an ambush and scrambled for coverage. | -
coward | The boy mocked his friend for being a coward. | -
cozy | His home is furnished in a very cozy way. | -
cradle | The hand that rocks the cradle rules the world. | -
crash | The sole survivor of the crash was a baby. | -
creation | Scientific truth is a creation of the human mind. | -
credible | The websites of some predatory publishers look credible. | -
credit | We gave you credit for more sense than that. | -
crew | Mark was a work horse on his construction crew. | -
crime | No one has been convicted of the crime yet. | -
criminal | The police caught sight of the criminal running away. | -
cripple | I didn't make you a cripple. | -
crisis | We often hear about an energy crisis these days. | -
crisp | Grab the meat before it burns to a crisp! | -
criterion | My criterion is the ability to work joyfully. | -
critic | The great critic and the poet are traveling together. | -
critical | Today we stand at a critical point in history. | -
criticism | The brunt of criticism was borne by the chairmen. | -
criticize | No one found any reason to criticize his actions. | -
crowd | A girl approached the king from among the crowd. | -
crucial | Mental strength is crucial for success in any sports. | -
crumble | The church's steeple is beginning to crumble with age. | -
crush | He has a crush on the girl next door. | -
cucumber | I like to eat yellow rice with cucumber pickles. | -
culture | I want to get a fix on local culture. | -
curb | Sami came to the edge of the curb. | -
current | The figurative meaning is no longer in current use. | -
curse | The family seemed to be under a curse. | -
customary | In hotels, it's customary to install wall-to-wall carpeting. | -
cute | That cute baby is the fruit of their love. | -
cycle | We are going to cycle to the lake tomorrow. | -
cylinder | The gas was compressed into a gas cylinder. | -
cynical | Inside every cynical person is a disappointed idealist. | -
dart | The last dart he threw, bounced off the board. | -
database | Progress is monitored daily and stored in a database. | -
dazzle | Where did you dazzle them? | -
deadline | You must get the job done before the deadline. | -
deadly | All the most deadly poisons were in her laboratory. | -
dean | The dean shook hands with each of the graduating students. | -
debate | His proposal started a debate that lasted a year. | -
decade | We have experienced many changes over the last decade. | -
decay | Many local traditions have fallen into decay in recent years. | -
deceive | The attempt to deceive me did not come off. | -
decent | Layla was very bad at choosing a decent partner. | -
decimal | Anna knows the first thousand decimal places of π by heart. | -
decisive | I took a picture at the decisive moment. | -
decorate | Sami promised his mother to help her decorate cookies. | -
decrease | Sudden decrease in appetite is sometimes a sign of illness. | -
decree | I need to escape from this decree. | -
dedicate | I want to dedicate this song to him. | -
deduce | We began to see what we can deduce from it. | -
deduct | He could deduct the furnishing of his work room from his taxes. | -
deem | The state can take your children away if they deem you an unfit mother. | -
default | The default color of the desktop's background is blue. | -
defeat | The lawsuit is likely to end in our defeat. | -
defect | There must be a defect in the experimental method. | -
defendant | The prosecution condemned the defendant for kidnapping a child. | -
defiance | His brazen act of defiance almost cost him his life. | -
deficiency | Body temperature rising, pulse rising ... he's in a state of oxygen deficiency. | -
deficit | Eliminating the deficit will be a very difficult job. | -
define | Context helps to define what is really meant. | -
definitely | Tom definitely needs to be a bit more sociable. | -
definition | Can you give me the definition of a cone? | -
definitive | People are very skeptical these days unless you show them definitive proof. | -
defy | I defy you to make it public. | -
degenerate | Live can so easily degenerate into something sordid and vulgar. | -
degrade | Don't degrade yourself by telling such a lie. | -
deliberate | You must be deliberate in selecting a partner. | -
delicate | The machine is so delicate that it easily breaks. | -
demand | There is much demand for nurses in this hospital. | -
demonstrate | These diagrams demonstrate different possible approaches to job seeking. | -
denial | Death when it comes will have no denial. | -
denote | The tilde is used in math to denote equivalence. | -
denounce | We all denounce cheating on tests. | -
dentist | The committee man is a dentist in private life. | -
deny | It is no use your trying to deny it. | -
depict | Many fantasy novels depict worlds with two moons. | -
deport | If I don't take care of all the bureaucratic issues, they'll simply deport me. | -
depress | Rain doesn't depress people who like reading. | -
depression | The report states that there will be a depression. | -
deprive | This law will deprive us of our basic rights. | -
derive | A wise man can derive gold even from pus. | -
descend | Mary was the first to descend from the ship. | -
descendant | She was the youngest descendant of the king. | -
descent | Ladies and gentlemen, we are about to begin our descent. | -
describe | Linguistics is the discipline which aims to describe language. | -
deserve | We want to help you because you deserve it. | -
design | A gardener was called in to design the garden. | -
designate | The blue lines on the map designate rivers. | -
desirable | It is desirable that you should attend the meeting. | -
desire | Not only career-minded women have desire to work. | -
despise | You must not despise someone because they are poor. | -
despite | No cure was possible, despite the abatement of symptoms. | -
destination | Round-trip fares to each destination are as follows. | -
destined | He was destined never to see his wife again. | -
destiny | I acted to protect myself from a similar destiny. | -
destruction | They caused an untold amount of death and destruction. | -
destructive | This destructive world has already experienced two world wars. | -
detach | I didn't detach them. | -
detail | I have no time to explain this in detail. | -
detain | Don't let me detain you. | -
detect | Our sensors did not detect anything out of the ordinary. | -
detection | Sami took extreme calculated steps to avoid detection. | -
detective | The man turned out to be a private detective. | -
deteriorate | The situation may deteriorate at any time. | -
deviate | I don't want to deviate from the plan. | -
device | The device fits in the palm of your hand. | -
devise | We must devise some means of escape. | -
devote | I will devote myself to studying for the entrance exams. | -
diagnose | That can diagnose anything, quicker and cheaper than a doctor. | -
dictate | No one shall dictate to me. | -
differentiate | We must be able to differentiate between objects and situations. | -
